bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,idade_imovel,foi_reformado,lat,long,zipcode,price
3.0,1.0,1180,5650,1.0,0,0,3,7,1180.0,0,1340,5650,59,0,47.5112,-122.257,98178,221900.0
3.0,2.25,2570,7242,2.0,0,0,3,7,2170.0,400,1690,7639,63,1,47.721,-122.319,98125,538000.0
2.0,1.0,770,10000,1.0,0,0,3,6,770.0,0,2720,8062,82,0,47.7379,-122.233,98028,180000.0
4.0,3.0,1960,5000,1.0,0,0,5,7,1050.0,910,1360,5000,49,0,47.5208,-122.393,98136,604000.0
3.0,2.0,1680,8080,1.0,0,0,3,8,1680.0,0,1800,7503,28,0,47.6168,-122.045,98074,510000.0
4.0,4.5,5420,101930,1.0,0,0,3,11,3890.0,1530,4760,101930,13,0,47.6561,-122.005,98053,1225000.0
3.0,2.25,1715,6819,2.0,0,0,3,7,1715.0,0,2238,6819,19,0,47.3097,-122.327,98003,257500.0
3.0,1.5,1060,9711,1.0,0,0,3,7,1060.0,0,1650,9711,52,0,47.4095,-122.315,98198,291850.0
3.0,1.0,1780,7470,1.0,0,0,3,7,1050.0,730,1780,8113,55,0,47.5123,-122.337,98146,229500.0
3.0,2.5,1890,6560,2.0,0,0,3,7,1890.0,0,2390,7570,12,0,47.3684,-122.031,98038,323000.0
3.0,2.5,3560,9796,1.0,0,0,3,8,1560.0,1700,2210,8925,50,0,47.6007,-122.145,98007,662500.0
2.0,1.0,1160,6000,1.0,0,0,4,7,860.0,300,1330,6000,72,0,47.69,-122.292,98115,468000.0
3.0,1.0,1430,19901,1.5,0,0,4,7,1430.0,0,1780,12697,87,0,47.7558,-122.229,98028,310000.0
3.0,1.75,1370,9680,1.0,0,0,4,7,1370.0,0,1370,10208,37,0,47.6127,-122.045,98074,400000.0
5.0,2.0,1810,4850,1.5,0,0,3,7,1810.0,0,1360,4850,115,0,47.67,-122.394,98107,530000.0
4.0,3.0,2950,5000,2.0,0,3,3,9,1980.0,970,2140,4000,36,0,47.5714,-122.375,98126,650000.0
3.0,2.0,1890,14040,2.0,0,0,3,7,1890.0,0,1890,14018,20,0,47.7277,-121.962,98019,395000.0
4.0,1.0,1600,4300,1.5,0,0,4,7,1560.0,0,1610,4300,98,0,47.6648,-122.343,98103,485000.0
2.0,1.0,1200,9850,1.0,0,0,4,7,1200.0,0,1060,5095,93,0,47.3089,-122.21,98002,189000.0
3.0,1.0,1250,9774,1.0,0,0,4,7,1250.0,0,1280,8850,46,0,47.3343,-122.306,98003,230000.0
4.0,1.75,1620,4980,1.0,0,0,4,7,860.0,760,1400,4980,67,0,47.7025,-122.341,98133,385000.0
3.0,2.75,3050,44867,1.0,0,4,3,9,2330.0,720,4110,20336,46,0,47.5316,-122.233,98040,2000000.0
5.0,2.5,2270,6300,2.0,0,0,3,8,2270.0,0,2240,7005,19,0,47.3266,-122.169,98092,285000.0
2.0,1.5,1070,9643,1.0,0,0,3,7,1070.0,0,1220,8386,29,0,47.3533,-122.166,98030,252700.0
3.0,2.25,2450,6500,2.0,0,0,4,8,2450.0,0,2200,6865,29,0,47.3739,-122.172,98030,329000.0
3.0,2.0,1710,4697,1.5,0,0,5,6,1710.0,0,1030,4705,73,0,47.3048,-122.218,98002,233000.0
3.0,1.75,2450,2691,2.0,0,0,3,8,1750.0,700,1760,3573,99,0,47.6386,-122.36,98119,937000.0
3.0,1.0,1400,1581,1.5,0,0,5,8,1400.0,0,1860,3861,105,0,47.6221,-122.314,98112,667000.0
3.0,1.75,1520,6380,1.0,0,0,3,7,790.0,730,1520,6235,66,0,47.695,-122.304,98115,438000.0
4.0,2.5,2570,7173,2.0,0,0,3,8,2570.0,0,2630,6026,10,0,47.7073,-122.11,98052,719000.0
3.0,2.5,2320,3980,2.0,0,0,3,8,2320.0,0,2580,3980,11,0,47.5391,-122.07,98027,580500.0
2.0,1.5,1190,1265,3.0,0,0,3,7,1190.0,0,1390,1756,9,0,47.7274,-122.357,98133,280000.0
4.0,1.75,2330,5000,1.5,0,0,4,7,1510.0,820,1460,5000,85,0,47.6823,-122.368,98117,687500.0
3.0,1.0,1090,3000,1.5,0,0,4,8,1090.0,0,1570,5080,85,0,47.6889,-122.375,98117,535000.0
4.0,2.75,2060,6659,1.0,0,0,3,7,1280.0,780,2020,8720,33,0,47.4276,-122.157,98058,322500.0
3.0,2.5,2300,3060,1.5,0,0,3,8,1510.0,790,1590,3264,84,1,47.6827,-122.31,98115,696000.0
4.0,1.0,1660,34848,1.0,0,0,1,5,930.0,730,2160,11467,81,0,47.6621,-122.132,98052,550000.0
4.0,2.0,2360,6000,2.0,0,0,4,8,2360.0,0,1730,4700,110,0,47.6702,-122.362,98107,640000.0
4.0,1.0,1220,8075,1.0,0,0,2,7,890.0,330,1290,7800,46,0,47.3341,-122.282,98001,240000.0
4.0,2.5,2620,7553,2.0,0,0,3,8,2620.0,0,2620,11884,18,0,47.5301,-122.18,98056,605000.0
4.0,2.5,2570,5520,2.0,0,0,3,9,2570.0,0,2470,5669,14,0,47.6145,-122.027,98074,625000.0
4.0,2.25,4220,24186,1.0,0,0,3,8,2600.0,1620,2410,30617,30,0,47.445,-122.347,98166,775000.0
5.0,2.75,3595,5639,2.0,0,0,3,9,3595.0,0,3625,5639,0,0,47.6848,-122.016,98053,861990.0
3.0,1.0,1570,2280,2.0,0,0,3,7,1570.0,0,1580,2640,92,0,47.6413,-122.364,98119,685000.0
3.0,1.0,1280,9656,1.0,0,0,4,6,920.0,360,1340,8808,55,0,47.4485,-122.175,98058,309000.0
3.0,2.5,3160,13603,2.0,0,0,3,8,3160.0,0,3050,9232,11,0,47.7443,-121.977,98019,488000.0
3.0,1.0,990,8528,1.0,0,0,3,6,990.0,0,1228,8840,49,0,47.3066,-122.371,98023,210490.0
4.0,2.5,2290,13416,2.0,0,0,4,9,2290.0,0,2680,13685,33,0,47.6194,-122.151,98007,785000.0
3.0,1.75,1250,5963,1.0,0,0,4,7,1250.0,0,970,5100,62,0,47.6796,-122.301,98115,450000.0
3.0,2.5,2753,65005,1.0,1,2,5,9,2165.0,588,2680,72513,62,0,47.4041,-122.451,98070,1350000.0
3.0,1.0,1190,9199,1.0,0,0,3,7,1190.0,0,1190,9364,59,0,47.4258,-122.322,98148,228000.0
5.0,2.5,3150,9134,1.0,0,0,4,8,1640.0,1510,1990,9133,49,0,47.4934,-122.189,98056,345000.0
3.0,1.75,1410,4080,1.0,0,0,4,7,1000.0,410,1410,4080,64,0,47.6808,-122.384,98117,600000.0
2.0,1.75,1980,8550,1.0,0,0,3,7,990.0,990,1480,6738,34,0,47.6989,-122.369,98117,585000.0
5.0,2.25,2730,6000,1.5,0,0,3,8,2130.0,600,2730,6000,88,0,47.6571,-122.281,98105,920000.0
4.0,2.5,2830,5000,2.0,0,0,3,9,2830.0,0,1950,5000,19,0,47.6597,-122.29,98105,885000.0
4.0,2.5,2250,4495,2.0,0,0,3,7,2250.0,0,2250,4500,6,0,47.3663,-122.114,98042,292500.0
3.0,2.5,2420,4750,2.0,0,0,3,8,2420.0,0,2690,4750,12,0,47.3663,-122.122,98042,301000.0
5.0,3.25,3250,14342,2.0,0,4,4,8,3250.0,0,2960,11044,46,0,47.588,-122.116,98008,951000.0
4.0,3.0,1850,9976,2.0,0,0,3,8,1850.0,0,2270,8542,24,0,47.5059,-122.149,98059,430000.0
3.0,2.25,2150,21235,1.0,0,3,4,8,1590.0,560,2570,18900,55,0,47.4336,-122.339,98166,650000.0
3.0,1.75,1260,8400,1.0,0,0,3,7,1260.0,0,1290,8750,60,0,47.4366,-122.335,98148,289000.0
3.0,1.75,2519,8690,2.0,0,0,5,8,2519.0,0,2500,9500,41,0,47.4428,-122.344,98166,505000.0
3.0,1.75,1540,1044,3.0,0,0,3,8,1540.0,0,1580,3090,0,0,47.6765,-122.32,98115,549000.0
3.0,2.25,1660,6000,1.0,0,0,3,7,1110.0,550,1440,4080,35,0,47.6113,-122.297,98122,425000.0
3.0,2.75,2770,3809,1.5,0,0,5,7,1770.0,1000,1440,4000,89,0,47.5747,-122.304,98144,317625.0
4.0,2.5,2720,11049,2.0,0,0,3,10,2720.0,0,2750,11049,25,0,47.5815,-122.192,98004,975000.0
4.0,2.5,2240,4648,2.0,0,0,3,7,2240.0,0,2221,4557,9,0,47.3378,-122.257,98001,287000.0
3.0,1.0,1000,12070,1.0,0,0,4,7,1000.0,0,1010,12635,46,0,47.3621,-122.11,98042,204000.0
5.0,2.25,3200,20158,1.0,0,0,3,8,1600.0,1600,3390,20158,49,0,47.6303,-122.215,98004,1325000.0
5.0,3.25,4770,50094,1.0,0,0,4,11,3070.0,1700,3530,38917,41,0,47.6525,-122.16,98005,1040000.0
3.0,2.0,1260,5612,1.0,0,0,4,7,1260.0,0,1640,4745,43,0,47.7362,-122.179,98034,325000.0
